pdf_page,printed_page,blank_page,transcription_text,arabic_text
48,125,False,,وَإِذْ وَاعَدْنَا مُوسَىٰ أَرْبَعِينَ لَيْلَةً ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ (٥١) ثُمَّ عَفَوْنَا عَنكُم مِّن بَعْدِ ذَٰلِكَ لَعَلَّكُمْ تَشْكُرُونَ (٥٢) وَإِذْ آتَيْنَا مُوسَى الْكِتَابَ وَالْفُرْقَانَ لَعَلَّكُمْ تَهْتَدُونَ (٥٣) وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ يَا قَوْمِ إِنَّكُمْ ظَلَمْتُمْ أَنفُسَكُم بِاتِّخَاذِكُمُ الْعِجْلَ فَتُوبُوا إِلَىٰ بَارِئِكُمْ فَاقْتُلُوا أَنفُسَكُمْ ذَٰلِكُمْ خَيْرٌ لَّكُمْ عِندَ بَارِئِكُمْ فَتَابَ عَلَيْكُمْ إِنَّهُ هُوَ التَّوَّابُ الرَّحِيمُ (٥٤) وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نُّؤْمِنَ لَكَ حَتَّىٰ نَرَى اللَّهَ جَهْرَةً فَأَخَذَتْكُمُ الصَّاعِقَةُ وَأَنتُمْ تَنظُرُونَ (٥٥) ثُمَّ بَعَثْنَاكُم مِّن بَعْدِ مَوْتِكُمْ لَعَلَّكُمْ تَشْكُرُونَ (٥٦) وَظَلَّلْنَا عَلَيْكُمُ الْغَمَامَ وَأَنزَلْنَا عَلَيْكُمُ الْمَنَّ وَالسَّلْوَىٰ كُلُوا مِن طَيِّبَاتِ مَا رَزَقْنَاكُمْ وَمَا ظَلَمُونَا وَلَٰكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ (٥٧) وَإِذْ قُلْنَا ادْخُلُوا هَٰذِهِ الْقَرْيَةَ فَكُلُوا مِنْهَا حَيْثُ شِئْتُمْ رَغَدًا وَادْخُلُوا الْبَابَ سُجَّدًا وَقُولُوا حِطَّةٌ نَّغْفِرْ لَكُمْ خَطَايَاكُمْ وَسَنَزِيدُ الْمُحْسِنِينَ (٥٨) فَبَدَّلَ الَّذِينَ ظَلَمُوا قَوْلًا غَيْرَ الَّذِي قِيلَ لَهُمْ فَأَنزَلْنَا عَلَى الَّذِينَ ظَلَمُوا رِجْزًا مِّنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ (٥٩) وَإِذِ اسْتَسْقَىٰ مُوسَىٰ لِقَوْمِهِ فَقُلْنَا اضْرِب بِّعَصَاكَ الْحَجَرَ فَانفَجَرَتْ مِنْهُ اثْنَتَا عَشْرَةَ عَيْنًا قَدْ عَلِمَ كُلُّ أُنَاسٍ مَّشْرَبَهُمْ كُلُوا وَاشْرَبُوا مِن رِّزْقِ اللَّهِ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ (٦٠)
49,126,False,"SURA AL-BAQARAH  2:61-68

61 When you told Moses, ""We can no longer tolerate one kind of food; ask your Lord to produce for us earthly crops such as beans, cucumber, garlic, lentils, and onions,"" he said, ""Do you wish to substitute that which is inferior for that which is good? Go down to the countryside wherein you may find your request."" Thus, humiliation and poverty became their lot, and they incurred wrath from God. That, because they rejected God's commandments and because they slew the prophets unjustly; because they rebelled and transgressed. 62 Surely, those who believe; those who were Jewish, Christian, or Sabian; any among them who did believe in God and the hereafter, and did good works, shall receive their recompense from their Lord; they shall have no fear, nor shall they grieve.

(The Covenant)
63 Recall that I made a covenant with you, and raised Mount Sinai above you, saying, ""You shall uphold this covenant strongly, and remember the contents thereof, that you may achieve piety."" 64 But you turned away thereafter, and were it not for God's grace towards you and His mercy, you would have been destroyed. 65 You know what happened to those among you who desecrated the Sabbath; I said unto them, ""You shall be despicable apes."" 66 Thus, I set them up as an example for their generation, as well as subsequent generations, and an admonition for the pious.

(The Heifer)
67 When Moses said to his followers, ""God commands you to sacrifice a heifer,"" they said, ""Are you kidding us?"" He said, ""God forbid that I may be so ignorant."" 68 They said, ""Ask your Lord to show us what kind of heifer."" Moses said, ""He says that she is a heifer which is neither too old, nor too young; of an average age. You shall carry out this command.""",
50,127,False,,وَإِذْ قُلْتُمْ يَا مُوسَىٰ لَن نَّصْبِرَ عَلَىٰ طَعَامٍ وَاحِدٍ فَادْعُ لَنَا رَبَّكَ يُخْرِجْ لَنَا مِمَّا تُنبِتُ الْأَرْضُ مِن بَقْلِهَا وَقِثَّائِهَا وَفُومِهَا وَعَدَسِهَا وَبَصَلِهَا قَالَ أَتَسْتَبْدِلُونَ الَّذِي هُوَ أَدْنَىٰ بِالَّذِي هُوَ خَيْرٌ اهْبِطُوا مِصْرًا فَإِنَّ لَكُم مَّا سَأَلْتُمْ وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ وَالْمَسْكَنَةُ وَبَاءُوا بِغَضَبٍ مِّنَ اللَّهِ ذَٰلِكَ بِأَنَّهُمْ كَانُوا يَكْفُرُونَ بِآيَاتِ اللَّهِ وَيَقْتُلُونَ النَّبِيِّينَ بِغَيْرِ الْحَقِّ ذَٰلِكَ بِمَا عَصَوا وَّكَانُوا يَعْتَدُونَ (٦١) إِنَّ الَّذِينَ آمَنُوا وَالَّذِينَ هَادُوا وَالنَّصَارَىٰ وَالصَّابِئِينَ مَنْ آمَنَ بِاللَّهِ وَالْيَوْمِ الْآخِرِ وَعَمِلَ صَالِحًا فَلَهُمْ أَجْرُهُمْ عِندَ رَبِّهِمْ وَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ (٦٢) وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ خُذُوا مَا آتَيْنَاكُم بِقُوَّةٍ وَاذْكُرُوا مَا فِيهِ لَعَلَّكُمْ تَتَّقُونَ (٦٣) ثُمَّ تَوَلَّيْتُم مِّن بَعْدِ ذَٰلِكَ فَلَوْلَا فَضْلُ اللَّهِ عَلَيْكُمْ وَرَحْمَتُهُ لَكُنتُم مِّنَ الْخَاسِرِينَ (٦٤) وَلَقَدْ عَلِمْتُمُ الَّذِينَ اعْتَدَوْا مِنكُمْ فِي السَّبْتِ فَقُلْنَا لَهُمْ كُونُوا قِرَدَةً خَاسِئِينَ (٦٥) فَجَعَلْنَاهَا نَكَالًا لِّمَا بَيْنَ يَدَيْهَا وَمَا خَلْفَهَا وَمَوْعِظَةً لِّلْمُتَّقِينَ (٦٦) وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ إِنَّ اللَّهَ يَأْمُرُكُمْ أَن تَذْبَحُوا بَقَرَةً قَالُوا أَتَتَّخِذُنَا هُزُوًا قَالَ أَعُوذُ بِاللَّهِ أَنْ أَكُونَ مِنَ الْجَاهِلِينَ (٦٧) قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا فَارِضٌ وَلَا بِكْرٌ عَوَانٌ بَيْنَ ذَٰلِكَ فَافْعَلُوا مَا تُؤْمَرُونَ (٦٨)
51,128,False,"SURA AL-BAQARAH  2:69-79

69 They said, ""Ask your Lord to inform us of her color."" Moses said, ""He says that she shall be a yellow heifer; bright-colored and pleasant looking."" 70 They said, ""Ask your Lord to point her out for us. The heifers look alike; with God's help we shall find her."" 71 Moses said, ""He says that she is a heifer never humiliated in plowing the land or watering the crops; safe from any blemish."" They said, ""Now you have brought the truth;"" they sacrificed her, though reluctantly. 72 Then, when you committed a murder and disputed among yourselves, God decided to uncover what you tried to conceal. 73 Thus, I said, ""Strike the victim with part of that heifer."" Whereupon, God revived the victim and showed you His signs, that you may understand. 74 Yet, your hearts hardened thereafter and became like rocks or even harder. For there are rocks from which rivers gush out; some rocks crack and gently release water; some rocks even stoop out of reverence for God. God is never unaware of anything you do.

(Distortion of the Scriptures)
75 How do you expect them to believe with you? Some of them used to hear the word of God then deliberately distort it with full understanding thereof. 76 When they meet the believers, they say, ""We believe in this,"" but when in private with each other, they say, ""Inform them not of the scripture revealed to you from God, lest they may use it to support their argument. Do you not understand?"" 77 Do they not realize that God knows whatever they hide, as well as whatever they disclose? 78 Among them there are those who have no knowledge of the scripture; they may think that they know it, but in fact they do not. 79 Therefore, woe to those who fabricate the scripture with their own hands, then claim that such writings came from God, seeking thereby a cheap material gain. Woe to them as a consequence of their fabrications; woe to them as a consequence of their deeds.",
52,129,False,,قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا لَوْنُهَا قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ صَفْرَاءُ فَاقِعٌ لَّوْنُهَا تَسُرُّ النَّاظِرِينَ (٦٩) قَالُوا ادْعُ لَنَا رَبَّكَ يُبَيِّن لَّنَا مَا هِيَ إِنَّ الْبَقَرَ تَشَابَهَ عَلَيْنَا وَإِنَّا إِن شَاءَ اللَّهُ لَمُهْتَدُونَ (٧٠) قَالَ إِنَّهُ يَقُولُ إِنَّهَا بَقَرَةٌ لَّا ذَلُولٌ تُثِيرُ الْأَرْضَ وَلَا تَسْقِي الْحَرْثَ مُسَلَّمَةٌ لَّا شِيَةَ فِيهَا قَالُوا الْآنَ جِئْتَ بِالْحَقِّ فَذَبَحُوهَا وَمَا كَادُوا يَفْعَلُونَ (٧١) وَإِذْ قَتَلْتُمْ نَفْسًا فَادَّارَأْتُمْ فِيهَا وَاللَّهُ مُخْرِجٌ مَّا كُنتُمْ تَكْتُمُونَ (٧٢) فَقُلْنَا اضْرِبُوهُ بِبَعْضِهَا كَذَٰلِكَ يُحْيِي اللَّهُ الْمَوْتَىٰ وَيُرِيكُمْ آيَاتِهِ لَعَلَّكُمْ تَعْقِلُونَ (٧٣) ثُمَّ قَسَتْ قُلُوبُكُم مِّن بَعْدِ ذَٰلِكَ فَهِيَ كَالْحِجَارَةِ أَوْ أَشَدُّ قَسْوَةً وَإِنَّ مِنَ الْحِجَارَةِ لَمَا يَتَفَجَّرُ مِنْهُ الْأَنْهَارُ وَإِنَّ مِنْهَا لَمَا يَشَّقَّقُ فَيَخْرُجُ مِنْهُ الْمَاءُ وَإِنَّ مِنْهَا لَمَا يَهْبِطُ مِنْ خَشْيَةِ اللَّهِ وَمَا اللَّهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ (٧٤) أَفَتَطْمَعُونَ أَن يُؤْمِنُوا لَكُمْ وَقَدْ كَانَ فَرِيقٌ مِّنْهُمْ يَسْمَعُونَ كَلَامَ اللَّهِ ثُمَّ يُحَرِّفُونَهُ مِن بَعْدِ مَا عَقَلُوهُ وَهُمْ يَعْلَمُونَ (٧٥) وَإِذَا لَقُوا الَّذِينَ آمَنُوا قَالُوا آمَنَّا وَإِذَا خَلَا بَعْضُهُمْ إِلَىٰ بَعْضٍ قَالُوا أَتُحَدِّثُونَهُم بِمَا فَتَحَ اللَّهُ عَلَيْكُمْ لِيُحَاجُّوكُم بِهِ عِندَ رَبِّكُمْ أَفَلَا تَعْقِلُونَ (٧٦) أَوَلَا يَعْلَمُونَ أَنَّ اللَّهَ يَعْلَمُ مَا يُسِرُّونَ وَمَا يُعْلِنُونَ (٧٧) وَمِنْهُمْ أُمِّيُّونَ لَا يَعْلَمُونَ الْكِتَابَ إِلَّا أَمَانِيَّ وَإِنْ هُمْ إِلَّا يَظُنُّونَ (٧٨) فَوَيْلٌ لِّلَّذِينَ يَكْتُبُونَ الْكِتَابَ بِأَيْدِيهِمْ ثُمَّ يَقُولُونَ هَٰذَا مِنْ عِندِ اللَّهِ لِيَشْتَرُوا بِهِ ثَمَنًا قَلِيلًا فَوَيْلٌ لَّهُم مِّمَّا كَتَبَتْ أَيْدِيهِمْ وَوَيْلٌ لَّهُم مِّمَّا يَكْسِبُونَ (٧٩)
53,130,False,"SURA AL-BAQARAH  2:80-87

(God's Chosen People?)
80 They say, ""The hellfire will not touch us, save for a limited number of days."" Say, ""Have you taken such a promise from God, and God never breaks His promise? Or, do you attribute to God what you know not?"" 81 Yes indeed, anyone who commits sin, and becomes surrounded by his misdeeds, these shall be dwellers of the hellfire; they shall abide therein eternally. 82 As for those who believe and do good works, they shall be dwellers of Paradise; they shall abide therein eternally.

(Transgressions of the Israelites)
83 Recall that I made a covenant with the Children of Israel that they shall not worship any except God; to be kind to the parents, the relatives, the orphans, and the poor; to speak with the people amicably; to observe the Salat and pay the Zakat. But you turned away, except a few of you, and you became averse. 84 I made a covenant with you that you shall not shed your blood, nor shall you evict one another from your homes; you agreed and bore witness. 85 Yet, here you are slaying one another, and evicting some of you from their homes, banding together against them sinfully and defiantly. When they come to you as captives you demand ransom from them; evicting them was prohibited for you in the first place. Do you then believe in part of the scripture and disregard the other? What should be the requital for such deeds, except humiliation in this life and, on the Day of Resurrection, even worse retribution? God is never unaware of anything you do. 86 Such are they who traded away the hereafter for this lowly life. Therefore, their retribution shall not be commuted, nor shall they receive any help. 87 I have given Moses the scripture and subsequent to him I dispatched many messengers. Similarly, I gave Jesus the son of Mary manifest signs, and I supported him with the holy spirit. Is it ever so that whenever a messenger comes to you with what you do not like, you resort to arrogance? Thus, some messengers you rejected, and some you slew.",
54,131,False,,وَقَالُوا لَن تَمَسَّنَا النَّارُ إِلَّا أَيَّامًا مَّعْدُودَةً قُلْ أَتَّخَذْتُمْ عِندَ اللَّهِ عَهْدًا فَلَن يُخْلِفَ اللَّهُ عَهْدَهُ أَمْ تَقُولُونَ عَلَى اللَّهِ مَا لَا تَعْلَمُونَ (٨٠) بَلَىٰ مَن كَسَبَ سَيِّئَةً وَأَحَاطَتْ بِهِ خَطِيئَتُهُ فَأُولَٰئِكَ أَصْحَابُ النَّارِ هُمْ فِيهَا خَالِدُونَ (٨١) وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ أُولَٰئِكَ أَصْحَابُ الْجَنَّةِ هُمْ فِيهَا خَالِدُونَ (٨٢) وَإِذْ أَخَذْنَا مِيثَاقَ بَنِي إِسْرَائِيلَ لَا تَعْبُدُونَ إِلَّا اللَّهَ وَبِالْوَالِدَيْنِ إِحْسَانًا وَذِي الْقُرْبَىٰ وَالْيَتَامَىٰ وَالْمَسَاكِينِ وَقُولُوا لِلنَّاسِ حُسْنًا وَأَقِيمُوا الصَّلَاةَ وَآتُوا الزَّكَاةَ ثُمَّ تَوَلَّيْتُمْ إِلَّا قَلِيلًا مِّنكُمْ وَأَنتُم مُّعْرِضُونَ (٨٣) وَإِذْ أَخَذْنَا مِيثَاقَكُمْ لَا تَسْفِكُونَ دِمَاءَكُمْ وَلَا تُخْرِجُونَ أَنفُسَكُم مِّن دِيَارِكُمْ ثُمَّ أَقْرَرْتُمْ وَأَنتُمْ تَشْهَدُونَ (٨٤) ثُمَّ أَنتُمْ هَٰؤُلَاءِ تَقْتُلُونَ أَنفُسَكُمْ وَتُخْرِجُونَ فَرِيقًا مِّنكُم مِّن دِيَارِهِمْ تَظَاهَرُونَ عَلَيْهِم بِالْإِثْمِ وَالْعُدْوَانِ وَإِن يَأْتُوكُمْ أُسَارَىٰ تُفَادُوهُمْ وَهُوَ مُحَرَّمٌ عَلَيْكُمْ إِخْرَاجُهُمْ أَفَتُؤْمِنُونَ بِبَعْضِ الْكِتَابِ وَتَكْفُرُونَ بِبَعْضٍ فَمَا جَزَاءُ مَن يَفْعَلُ ذَٰلِكَ مِنكُمْ إِلَّا خِزْيٌ فِي الْحَيَاةِ الدُّنْيَا وَيَوْمَ الْقِيَامَةِ يُرَدُّونَ إِلَىٰ أَشَدِّ الْعَذَابِ وَمَا اللَّهُ بِغَافِلٍ عَمَّا تَعْمَلُونَ (٨٥) أُولَٰئِكَ الَّذِينَ اشْتَرَوُا الْحَيَاةَ الدُّنْيَا بِالْآخِرَةِ فَلَا يُخَفَّفُ عَنْهُمُ الْعَذَابُ وَلَا هُمْ يُنصَرُونَ (٨٦) وَلَقَدْ آتَيْنَا مُوسَى الْكِتَابَ وَقَفَّيْنَا مِن بَعْدِهِ بِالرُّسُلِ وَآتَيْنَا عِيسَى ابْنَ مَرْيَمَ الْبَيِّنَاتِ وَأَيَّدْنَاهُ بِرُوحِ الْقُدُسِ أَفَكُلَّمَا جَاءَكُمْ رَسُولٌ بِمَا لَا تَهْوَىٰ أَنفُسُكُمُ اسْتَكْبَرْتُمْ فَفَرِيقًا كَذَّبْتُمْ وَفَرِيقًا تَقْتُلُونَ (٨٧)
55,132,False,"SURA AL-BAQARAH  2:88-98

88 They said, ""Our hearts are saturated."" Nay, it is but a curse from God, due to their heathenism, that causes them to believe but rarely. 89 Thus, when this scripture came to them from God, confirming what they have, and though they used to predict to the disbelievers its coming, they rejected it when they realized it had come. Such is the curse of God upon the rejectors. 90 Miserable indeed is what they traded their souls for; disbelieving in these revelations of God, out of sheer jealousy that God should bestow His grace upon whomever He wills among His creatures. Therefore, they incur wrath after wrath; the disbelievers shall suffer a humiliating punishment. 91 When they are told, ""You shall believe in these revelations of God,"" they say, ""We believe only in what was revealed to us."" Thus, they reject subsequent scripture even though it is the truth; even though it confirms what they have. Say, ""Why did you slay the prophets of God in the olden times, if you were really believers?"" 92 Moses had come to you with manifest signs, but you worshiped the calf in his absence and you turned wicked. 93 Recall that I made a covenant with you, and raised Mount Sinai over you, saying, ""You shall uphold this covenant strongly, and hearken."" They said, ""We hearken, but we shall not obey."" Thus, their hearts were filled with adoration for the calf, due to their rebellion. Say, ""Miserable is what your convictions dictate upon you, if you do have any convictions."" 94 Say, ""If the abode in the hereafter is guaranteed by God for you alone, to the exclusion of all others, then you should long for death if you are truthful."" 95 However, they never long for it, due to what their hands have committed. God is fully aware of the wrong-doers. 96 In fact, you shall find them the most covetous of life, even more so than the heathens; the one of them would wish to survive a thousand years. But this shall not move him any further from his due retribution, even if he does live long. God is Seer of everything they do. 97 Say to those who resent (the archangel) Gabriel that he conveyed this Qur'an into your heart, by God's leave, confirming previous scriptures and providing guidance and good news for the believers. 98 If anyone chooses to oppose God, His angels, and His messengers, including Gabriel and Michael, then God will oppose such disbelievers.",
56,133,False,,وَقَالُوا قُلُوبُنَا غُلْفٌ بَل لَّعَنَهُمُ اللَّهُ بِكُفْرِهِمْ فَقَلِيلًا مَّا يُؤْمِنُونَ (٨٨) وَلَمَّا جَاءَهُمْ كِتَابٌ مِّنْ عِندِ اللَّهِ مُصَدِّقٌ لِّمَا مَعَهُمْ وَكَانُوا مِن قَبْلُ يَسْتَفْتِحُونَ عَلَى الَّذِينَ كَفَرُوا فَلَمَّا جَاءَهُم مَّا عَرَفُوا كَفَرُوا بِهِ فَلَعْنَةُ اللَّهِ عَلَى الْكَافِرِينَ (٨٩) بِئْسَمَا اشْتَرَوْا بِهِ أَنفُسَهُمْ أَن يَكْفُرُوا بِمَا أَنزَلَ اللَّهُ بَغْيًا أَن يُنَزِّلَ اللَّهُ مِن فَضْلِهِ عَلَىٰ مَن يَشَاءُ مِنْ عِبَادِهِ فَبَاءُوا بِغَضَبٍ عَلَىٰ غَضَبٍ وَلِلْكَافِرِينَ عَذَابٌ مُّهِينٌ (٩٠) وَإِذَا قِيلَ لَهُمْ آمِنُوا بِمَا أَنزَلَ اللَّهُ قَالُوا نُؤْمِنُ بِمَا أُنزِلَ عَلَيْنَا وَيَكْفُرُونَ بِمَا وَرَاءَهُ وَهُوَ الْحَقُّ مُصَدِّقًا لِّمَا مَعَهُمْ قُلْ فَلِمَ تَقْتُلُونَ أَنبِيَاءَ اللَّهِ مِن قَبْلُ إِن كُنتُم مُّؤْمِنِينَ (٩١) وَلَقَدْ جَاءَكُم مُّوسَىٰ بِالْبَيِّنَاتِ ثُمَّ اتَّخَذْتُمُ الْعِجْلَ مِن بَعْدِهِ وَأَنتُمْ ظَالِمُونَ (٩٢) وَإِذْ أَخَذْنَا مِيثَاقَكُمْ وَرَفَعْنَا فَوْقَكُمُ الطُّورَ خُذُوا مَا آتَيْنَاكُم بِقُوَّةٍ وَاسْمَعُوا قَالُوا سَمِعْنَا وَعَصَيْنَا وَأُشْرِبُوا فِي قُلُوبِهِمُ الْعِجْلَ بِكُفْرِهِمْ قُلْ بِئْسَمَا يَأْمُرُكُم بِهِ إِيمَانُكُمْ إِن كُنتُم مُّؤْمِنِينَ (٩٣) قُلْ إِن كَانَتْ لَكُمُ الدَّارُ الْآخِرَةُ عِندَ اللَّهِ خَالِصَةً مِّن دُونِ النَّاسِ فَتَمَنَّوُا الْمَوْتَ إِن كُنتُمْ صَادِقِينَ (٩٤) وَلَن يَتَمَنَّوْهُ أَبَدًا بِمَا قَدَّمَتْ أَيْدِيهِمْ وَاللَّهُ عَلِيمٌ بِالظَّالِمِينَ (٩٥) وَلَتَجِدَنَّهُمْ أَحْرَصَ النَّاسِ عَلَىٰ حَيَاةٍ وَمِنَ الَّذِينَ أَشْرَكُوا يَوَدُّ أَحَدُهُمْ لَوْ يُعَمَّرُ أَلْفَ سَنَةٍ وَمَا هُوَ بِمُزَحْزِحِهِ مِنَ الْعَذَابِ أَن يُعَمَّرَ وَاللَّهُ بَصِيرٌ بِمَا يَعْمَلُونَ (٩٦) قُلْ مَن كَانَ عَدُوًّا لِّجِبْرِيلَ فَإِنَّهُ نَزَّلَهُ عَلَىٰ قَلْبِكَ بِإِذْنِ اللَّهِ مُصَدِّقًا لِّمَا بَيْنَ يَدَيْهِ وَهُدًى وَبُشْرَىٰ لِلْمُؤْمِنِينَ (٩٧) مَن كَانَ عَدُوًّا لِّلَّهِ وَمَلَائِكَتِهِ وَرُسُلِهِ وَجِبْرِيلَ وَمِيكَالَ فَإِنَّ اللَّهَ عَدُوٌّ لِّلْكَافِرِينَ (٩٨)
57,134,False,"COMMENTARY

Predestination:

In verse 30 of sura Al-Baqarah, the Almighty announces His intention to create man. A most significant statement in this verse, though invariably overlooked by most people, is the divine declaration, ""I will place on earth . . ."" Thus, the temporary abode of man on earth had been predestined, even before his creation. God knew in advance that Adam and Eve were going to break His law by eating from the forbidden tree (verse 36). He knew that they were going to sin; thereby disqualifying themselves from abiding in heaven, and deserving to be sent down to earth (verses 36 and 38). Man, on the other hand, did not possess such advance knowledge. As far as Adam and Eve were concerned, they were placed in heaven, and given a law to live by. Therefore, in a most profound way, these verses teach us that predestination is a quality of God; Man's life, every aspect of it is indeed predestined, BUT ONLY AS FAR AS GOD IS CONCERNED. As far as we are concerned, we have the absolute freedom of thought; the absolute freedom to believe in God or disbelieve (18:29; 25:57; 39:15; 41:40; 73:19; 74:37,55; 76:29; 78:39; 80:12; 81:28). It just happens that the Almighty has foreknowledge of what course each one of us is going to choose. The dimension of ""time"" represents one of the limitations within which the finite man lives. But it is a nonexistent dimension with regard to the infinite God. The Almighty, therefore, exists in the past, present, and future simultaneously. Because He is in the future now, He knows the exact destiny of each one of His Creatures.

Predestination is one of the most misunderstood concepts in Islam; both by Muslims and non-Muslims. It is also one of the most abused concepts by the enemies of God; the enemies of Islam. They abuse it to project Islam as a fatalistic faith, implying the absence of freedom of choice. Consequently, such fatalistic conception of Islam is a piece of ignorance common among too many teachers and students of theology in the West.

The law given to Adam and Eve is symbolized by the forbidden tree in verse 35. Since heaven is described in the Qur'an (2:25-26; 13:35; 47:15) in allegorical terms (see also the first issue of ISLAM, page 56), the tree mentioned in verse 35 must be an allegorical representation of God's law.

The facts about man's creation as stated in verses 30 through 39 provide another example of finalization of God's message in the Qur'an. Thus, the exact reasons behind the fall of Iblis (= Lucifer = Satan) are presented to mankind for the first time. No record of such facts exists in any of the previous scriptures. As mentioned in verse 34, Iblis refused to fall prostrate before",
58,135,False,"Adam along with the other angels, due to sheer arrogance. Even such prominent Christians as evangelist Billy Graham never knew the reasons behind the fall of Lucifer. In his 1974 Arizona Crusade (aired on television June 3, 1974 in the St. Louis, Missouri area), Mr. Graham declared, ""We do not know why Lucifer rebelled. It seems that he led a group of angels in rebellion against God.""

That Iblis is a fallen angel is abundantly clear from verse 34, ""I said to the angels, 'Fall prostrate before Adam.'"" Thus, the command to fall prostrate was directed to the angels. Had Iblis been other than an angel, therefore, he would not have been expected to obey such command. The fact that Iblis was held responsible for disobedience is clear evidence that he is a fallen angel. Some students of the Qur'an maintain that Iblis is a jinn; that angels do not disobey divine commands. They base their argument on verses 12 of sura Al-A'raf (No.7) and 76 of sura Sad (No. 38) which state,

Iblis said, ""I am better than him; You created me from fire and created him from mud.""

verse 15 of sura Al-Rahman (No. 55):

He created jinn from blazing fire

and verse 50 of sura Al-Kahf (No. 18):

I said to the angels, ""Fall prostrate before Adam."" They fell prostrate, except Iblis; he was a jinn; he disobeyed the command of his Lord.

However, the statement that Iblis was created from fire does not necessarily mean that he was different from the angels (who supposedly were created from light). The common belief that the angels were created from light is not supported by a single verse in the Qur'an; nowhere in the Qur'an are we told that the angels were created from light. If the source of this general belief is a Hadith or a tradition of which this commentator is unaware, this still does not necessitate that Iblis was not an angel. The Qur'an commonly refers to the various stages of man's creation [dust (3:59; 18:37; 22:5; 30:20; 38:71; 38:76; 17:61), clay (6:2; 7:12; 23:12; 32:7; 37:11; 38:76; 53:46), mud (35:11; 40:67), drop of semen (16:4; 23:13-14; 15:26; 15:28; 15:33; 55:14), hanging clot (75:37; 76:2; 80:19; 96:2)]. Similarly, it is not inconceivable to describe the creation of angels at any stage (fire, light). Furthermore, from","قَالَ أَنَا خَيْرٌ مِنْهُ خَلَقْتَنِي مِنْ نَارٍ وَخَلَقْتَهُ مِنْ طِينٍ

وَخَلَقَ الْجَانَّ مِنْ مَارِجٍ مِنْ نَارٍ

وَإِذْ قُلْنَا لِلْمَلَائِكَةِ اسْجُدُوا لِآدَمَ فَسَجَدُوا إِلَّا إِبْلِيسَ كَانَ مِنَ الْجِنِّ فَفَسَقَ عَنْ أَمْرِ رَبِّهِ"
59,,False,"the verses discussed here we may infer that a jinn is a rebellious angel, and that the jinns are descendants of Iblis, just as we are descendants of Adam. As stated in the Qur'an, the jinns are subject to tests, judgment, heaven, and hell, exactly as we are (6:112,130; 7:38, 179; 11:119; 17:88; 32:13; 41:25,29; 46:18; 51:56; sura 55; sura 72; 114:6).

Another lesson we derive from verses 30-39 is the grossness of the sin of PRIDE. It is because of pride, and pride alone, that an angel was doomed, and is destined for Hell. Today, there are humans who are too proud to fall prostrate even before the Almighty Himself. Satan's pride caused his refusal to fall prostrate before a creature, Adam, and hence his condemnation. Man's refusal to surrender his will to the Creator; to fall prostrate before the Creator (not a creature), must be at least equally disastrous.

Original Sin!?

Islam holds that each individual is solely responsible for his or her deeds (6:164; 17:15; 35:18; 39:7; 53:38). This doctrine applies of course to Adam, as stated in verse 37 of sura Al-Baqarah. Adam and Eve sinned (verse 36), and they alone were held responsible. The concept of ""repentance"" was taught to Adam (verse 37); he exercised this concept, and his repentance was accepted by the Almighty. Thus, Adam was completely exonerated; his sin was forgiven and erased. ""Original sin"" (a foreign concept introduced into ""Christianity""), therefore, is an unacceptable doctrine in Islam; unacceptable to the all-encompassing justice of God. Likewise, the commonly believed concept in the Judaeo-Christian world that Adam and Eve's sin of ""eating the apple"" refers euphemistically to sexual intercourse is unacceptable to Islam. This idea has caused millions to believe that sexual relations, even between a man and wife, are inherently sinful, and it is in part responsible for much of the sexual aberration and perversion which plagues the West.

The detailed account of the Israelites' plight, deliverance, and rebellion, as stated in verses 40 through 123 need no comment.",
