verse_index,verse_id,chapter_number,verse_number,chapter_verses,verse_id_arabic,english_1989,arabic_uthmani,pdf_page_1989,printed_page_1989,english_bbox,english_transcription_source,english_transcription_note,arabic_alignment_note
1799,14:39,14,39,52,٣٩:١٤,"“Praise be to GOD for granting me, at an old age, Ismail and Isaac. My Lord answers the prayers.",ٱلْحَمْدُ لِلَّهِ ٱلَّذِى وَهَبَ لِى عَلَى ٱلْكِبَرِ إِسْمَـٰعِيلَ وَإِسْحَـٰقَ ۚ إِنَّ رَبِّى لَسَمِيعُ ٱلدُّعَآءِ,279,260,"[41.151, 451.739, 248.36, 493.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1764,14:4,14,4,52,٤:١٤,"We did not send any messenger except (to preach) in the tongue of his people, in order to explain to them. GOD then misleads whomever He wills, and guides whomever He wills. He is the Almighty, the Most Wise.",وَمَآ أَرْسَلْنَا مِن رَّسُولٍ إِلَّا بِلِسَانِ قَوْمِهِۦ لِيُبَيِّنَ لَهُمْ ۖ فَيُضِلُّ ٱللَّهُ مَن يَشَآءُ وَيَهْدِى مَن يَشَآءُ ۚ وَهُوَ ٱلْعَزِيزُ ٱلْحَكِيمُ,274,255,"[41.65, 422.47, 230.385, 509.749]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1800,14:40,14,40,52,٤٠:١٤,"“My Lord, make me one who consistently observes the contact prayers (Salat), and also my children. Our Lord, please answer my prayers.",رَبِّ ٱجْعَلْنِى مُقِيمَ ٱلصَّلَوٰةِ وَمِن ذُرِّيَّتِى ۚ رَبَّنَا وَتَقَبَّلْ دُعَآءِ,279,260,"[41.151, 502.051, 250.359, 557.001]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1801,14:41,14,41,52,٤١:١٤,"“My Lord, forgive me and my parents, and the believers, on the day when the reckoning takes place.”",رَبَّنَا ٱغْفِرْ لِى وَلِوَٰلِدَىَّ وَلِلْمُؤْمِنِينَ يَوْمَ يَقُومُ ٱلْحِسَابُ,279,260,"[41.151, 565.401, 383.257, 591.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1802,14:42,14,42,52,٤٢:١٤,Do not think that GOD is unaware of what the transgressors do. He only respites them until a day where the eyes stare in horror.,وَلَا تَحْسَبَنَّ ٱللَّهَ غَـٰفِلًا عَمَّا يَعْمَلُ ٱلظَّـٰلِمُونَ ۚ إِنَّمَا يُؤَخِّرُهُمْ لِيَوْمٍ تَشْخَصُ فِيهِ ٱلْأَبْصَـٰرُ,279,260,"[41.151, 600.289, 244.635, 655.9]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1803,14:43,14,43,52,٤٣:١٤,"As they rush (out of the graves), their faces will be looking upward, their eyes will not even blink, and their minds will be horrified.",مُهْطِعِينَ مُقْنِعِى رُءُوسِهِمْ لَا يَرْتَدُّ إِلَيْهِمْ طَرْفُهُمْ ۖ وَأَفْـِٔدَتُهُمْ هَوَآءٌ,280,261,"[38.049, 48.491, 470.939, 69.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1804,14:44,14,44,52,٤٤:١٤,"You shall warn the people of the day when the retribution comes to them. Those who transgressed will say, “Our Lord, give us one more chance. We will then respond to Your call and follow the messengers.” Did you not swear in the past that you will last forever?",وَأَنذِرِ ٱلنَّاسَ يَوْمَ يَأْتِيهِمُ ٱلْعَذَابُ فَيَقُولُ ٱلَّذِينَ ظَلَمُوا۟ رَبَّنَآ أَخِّرْنَآ إِلَىٰٓ أَجَلٍ قَرِيبٍ نُّجِبْ دَعْوَتَكَ وَنَتَّبِعِ ٱلرُّسُلَ ۗ أَوَلَمْ تَكُونُوٓا۟ أَقْسَمْتُم مِّن قَبْلُ مَا لَكُم مِّن زَوَالٍ,280,261,"[41.9, 95.252, 444.536, 149.952]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1805,14:45,14,45,52,٤٥:١٤,"Even though you lived in the homes of those before you, who also wronged their souls! You have clearly seen what we did to them. We have set many examples for you.",وَسَكَنتُمْ فِى مَسَـٰكِنِ ٱلَّذِينَ ظَلَمُوٓا۟ أَنفُسَهُمْ وَتَبَيَّنَ لَكُمْ كَيْفَ فَعَلْنَا بِهِمْ وَضَرَبْنَا لَكُمُ ٱلْأَمْثَالَ,280,261,"[42.1, 158.502, 249.025, 227.352]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1806,14:46,14,46,52,٤٦:١٤,"They schemed their schemes, and GOD is fully aware of their schemes. Indeed, their schemes were sufficient to erase mountains.",وَقَدْ مَكَرُوا۟ مَكْرَهُمْ وَعِندَ ٱللَّهِ مَكْرُهُمْ وَإِن كَانَ مَكْرُهُمْ لِتَزُولَ مِنْهُ ٱلْجِبَالُ,280,261,"[42.1, 236.152, 251.821, 291.452]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1807,14:47,14,47,52,٤٧:١٤,"Do not think that GOD will ever break His promise to His messengers GOD is Almighty, Avenger.",فَلَا تَحْسَبَنَّ ٱللَّهَ مُخْلِفَ وَعْدِهِۦ رُسُلَهُۥٓ ۗ إِنَّ ٱللَّهَ عَزِيزٌ ذُو ٱنتِقَامٍ,280,261,"[42.35, 330.539, 253.132, 373.038]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1808,14:48,14,48,52,٤٨:١٤,"The day will come when this earth will be substituted with a new earth, and also the heavens, and everyone will be brought before GOD, the One, the Supreme.",يَوْمَ تُبَدَّلُ ٱلْأَرْضُ غَيْرَ ٱلْأَرْضِ وَٱلسَّمَـٰوَٰتُ ۖ وَبَرَزُوا۟ لِلَّهِ ٱلْوَٰحِدِ ٱلْقَهَّارِ,280,261,"[41.9, 398.252, 247.09, 467.751]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1809,14:49,14,49,52,٤٩:١٤,And you will see the guilty on that day chained in shackles.,وَتَرَى ٱلْمُجْرِمِينَ يَوْمَئِذٍ مُّقَرَّنِينَ فِى ٱلْأَصْفَادِ,280,261,"[41.4, 476.852, 224.58, 503.252]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1765,14:5,14,5,52,٥:١٤,"Thus, we sent Moses with our miracles, saying, “Lead your people out of darkness into the light, and remind them of the days of GOD.” These are lessons for every steadfast, appreciative person.",وَلَقَدْ أَرْسَلْنَا مُوسَىٰ بِـَٔايَـٰتِنَآ أَنْ أَخْرِجْ قَوْمَكَ مِنَ ٱلظُّلُمَـٰتِ إِلَى ٱلنُّورِ وَذَكِّرْهُم بِأَيَّىٰمِ ٱللَّهِ ۚ إِنَّ فِى ذَٰلِكَ لَـَٔايَـٰتٍ لِّكُلِّ صَبَّارٍ شَكُورٍ,274,255,"[40.9, 547.151, 300.964, 619.751]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1810,14:50,14,50,52,٥٠:١٤,"Their garments will be made of tar, and fire will overwhelm their faces.",سَرَابِيلُهُم مِّن قَطِرَانٍ وَتَغْشَىٰ وُجُوهَهُمُ ٱلنَّارُ,280,261,"[40.9, 512.002, 242.608, 538.552]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1811,14:51,14,51,52,٥١:١٤,For GOD will pay each soul for whatever it earned; GOD is the most efficient reckoner.,لِيَجْزِىَ ٱللَّهُ كُلَّ نَفْسٍ مَّا كَسَبَتْ ۚ إِنَّ ٱللَّهَ سَرِيعُ ٱلْحِسَابِ,280,261,"[40.7, 547.589, 330.337, 575.839]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1812,14:52,14,52,52,٥٢:١٤,"This is a proclamation for the people, to be warned herewith, that they may know that He is only one god. Those who possess intelligence will take heed.",هَـٰذَا بَلَـٰغٌ لِّلنَّاسِ وَلِيُنذَرُوا۟ بِهِۦ وَلِيَعْلَمُوٓا۟ أَنَّمَا هُوَ إِلَـٰهٌ وَٰحِدٌ وَلِيَذَّكَّرَ أُو۟لُوا۟ ٱلْأَلْبَـٰبِ,280,261,"[40.2, 584.352, 458.35, 610.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1766,14:6,14,6,52,٦:١٤,"Recall that Moses said to his people, “Remember GOD’s blessings upon you. He saved you from Pharaoh’s people who inflicted the worst persecution upon you, slaughtering your sons and sparing your daughters. That was an exacting trial from your Lord.” Appreciative KrItnnnnro / 'in t in o",وَإِذْ قَالَ مُوسَىٰ لِقَوْمِهِ ٱذْكُرُوا۟ نِعْمَةَ ٱللَّهِ عَلَيْكُمْ إِذْ أَنجَىٰكُم مِّنْ ءَالِ فِرْعَوْنَ يَسُومُونَكُمْ سُوٓءَ ٱلْعَذَابِ وَيُذَبِّحُونَ أَبْنَآءَكُمْ وَيَسْتَحْيُونَ نِسَآءَكُمْ ۚ وَفِى ذَٰلِكُم بَلَآءٌ مِّن رَّبِّكُمْ عَظِيمٌ,275,256,"[39.25, 78.989, 338.016, 183.951]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1767,14:7,14,7,52,٧:١٤,"Your Lord has decreed: “The more you thank Me, the more I give you.” But if you turn unappreciative, then My retribution is severe.",وَإِذْ تَأَذَّنَ رَبُّكُمْ لَئِن شَكَرْتُمْ لَأَزِيدَنَّكُمْ ۖ وَلَئِن كَفَرْتُمْ إِنَّ عَذَابِى لَشَدِيدٌ,275,256,"[39.95, 203.785, 217.382, 260.95]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1768,14:8,14,8,52,٨:١٤,"Moses said, “If you disbelieve, along with all the people on earth, GOD is in no need, Praiseworthy.” Humans Consistently Defiant",وَقَالَ مُوسَىٰٓ إِن تَكْفُرُوٓا۟ أَنتُمْ وَمَن فِى ٱلْأَرْضِ جَمِيعًا فَإِنَّ ٱللَّهَ لَغَنِىٌّ حَمِيدٌ,275,256,"[39.95, 280.461, 243.536, 330.348]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1769,14:9,14,9,52,٩:١٤,"Have you not heard about those before you—the people of Noah, ‘Aad, Thamoud, and others known only to GOD, who came after them? Their messengers went to them with clear signs, but they treated them with contempt and said, “We disbelieve in what you are sent with. We are skeptical about your message; full of doubt.” A Great Human Tragedy",أَلَمْ يَأْتِكُمْ نَبَؤُا۟ ٱلَّذِينَ مِن قَبْلِكُمْ قَوْمِ نُوحٍ وَعَادٍ وَثَمُودَ ۛ وَٱلَّذِينَ مِنۢ بَعْدِهِمْ ۛ لَا يَعْلَمُهُمْ إِلَّا ٱللَّهُ ۚ جَآءَتْهُمْ رُسُلُهُم بِٱلْبَيِّنَـٰتِ فَرَدُّوٓا۟ أَيْدِيَهُمْ فِىٓ أَفْوَٰهِهِمْ وَقَالُوٓا۟ إِنَّا كَفَرْنَا بِمَآ أُرْسِلْتُم بِهِۦ وَإِنَّا لَفِى شَكٍّ مِّمَّا تَدْعُونَنَآ إِلَيْهِ مُرِيبٍ,275,256,"[39.95, 349.961, 251.329, 510.798]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1813,15:0,15,0,99,٠:١٥,"In the name of God, Most Gracious, Most Merciful",بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,281,262,,standard unnumbered basmalah,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1814,15:1,15,1,99,١:١٥,A.L.R.* These (letters) are miracles of this scripture; a profound Quran.,الٓر ۚ تِلْكَ ءَايَـٰتُ ٱلْكِتَـٰبِ وَقُرْءَانٍ مُّبِينٍ,281,262,"[40.9, 121.4, 431.866, 127.401]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1823,15:10,15,10,99,١٠:١٥,We have sent (messengers) before you to the communities of the past.,وَلَقَدْ أَرْسَلْنَا مِن قَبْلِكَ فِى شِيَعِ ٱلْأَوَّلِينَ,281,262,"[42.35, 447.948, 242.449, 474.201]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1824,15:11,15,11,99,١١:١٥,"Every time a messenger went to them, they ridiculed him.",وَمَا يَأْتِيهِم مِّن رَّسُولٍ إِلَّا كَانُوا۟ بِهِۦ يَسْتَهْزِءُونَ,281,262,"[42.35, 482.601, 210.902, 508.751]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1825,15:12,15,12,99,١٢:١٥,We thus control the guilty hearts.,كَذَٰلِكَ نَسْلُكُهُۥ فِى قُلُوبِ ٱلْمُجْرِمِينَ,281,262,"[42.35, 517.651, 231.554, 529.651]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1826,15:13,15,13,99,١٣:١٥,"Consequently, they cannot believe in him. This has been proven throughout past generations.",لَا يُؤْمِنُونَ بِهِۦ ۖ وَقَدْ خَلَتْ سُنَّةُ ٱلْأَوَّلِينَ,281,262,"[42.35, 538.151, 321.576, 564.451]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1827,15:14,15,14,99,١٤:١٥,"Even if we opened for them a gate into the sky, through which they climbed—",وَلَوْ فَتَحْنَا عَلَيْهِم بَابًا مِّنَ ٱلسَّمَآءِ فَظَلُّوا۟ فِيهِ يَعْرُجُونَ,281,262,"[42.6, 573.351, 464.94, 585.351]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1828,15:15,15,15,99,١٥:١٥,"they would say, “Our eyes have been deceived. We have been bewitched.”",لَقَالُوٓا۟ إِنَّمَا سُكِّرَتْ أَبْصَـٰرُنَا بَلْ نَحْنُ قَوْمٌ مَّسْحُورُونَ,281,262,"[42.6, 593.851, 442.488, 605.851]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1829,15:16,15,16,99,١٦:١٥,"We placed galaxies in the sky, and adorned it for the beholders.",وَلَقَدْ جَعَلْنَا فِى ٱلسَّمَآءِ بُرُوجًا وَزَيَّنَّـٰهَا لِلنَّـٰظِرِينَ,282,263,,manual visual correction,The printed verse marker is degraded in the scan and was misread by OCR as “10.”,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1830,15:17,15,17,99,١٧:١٥,We guarded it against every rejected devil.,وَحَفِظْنَـٰهَا مِن كُلِّ شَيْطَـٰنٍ رَّجِيمٍ,282,263,"[43.799, 64.651, 280.943, 76.651]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1831,15:18,15,18,99,١٨:١٥,"If any of them sneaks around, a mighty projectile will chase him back.",إِلَّا مَنِ ٱسْتَرَقَ ٱلسَّمْعَ فَأَتْبَعَهُۥ شِهَابٌ مُّبِينٌ,282,263,"[43.799, 86.151, 421.151, 98.151]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1832,15:19,15,19,99,١٩:١٥,"As for the earth, we constructed it, and placed on it stabilizers (<mountains), and grew on it a perfect balance of everything.",وَٱلْأَرْضَ مَدَدْنَـٰهَا وَأَلْقَيْنَا فِيهَا رَوَٰسِىَ وَأَنۢبَتْنَا فِيهَا مِن كُلِّ شَىْءٍ مَّوْزُونٍ,282,263,"[43.799, 106.898, 452.495, 132.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1815,15:2,15,2,99,٢:١٥,Perhaps those who disbelieved will wish they were Muslims.,رُّبَمَا يَوَدُّ ٱلَّذِينَ كَفَرُوا۟ لَوْ كَانُوا۟ مُسْلِمِينَ,281,262,"[39.95, 142.651, 367.622, 148.651]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1833,15:20,15,20,99,٢٠:١٥,"We made it habitable for you,* and for creatures you do not provide for.",وَجَعَلْنَا لَكُمْ فِيهَا مَعَـٰيِشَ وَمَن لَّسْتُمْ لَهُۥ بِرَٰزِقِينَ,282,263,"[42.85, 141.452, 436.018, 153.452]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1834,15:21,15,21,99,٢١:١٥,There is nothing that we do not own infinite amounts thereof. But we send it down in exact measure.,وَإِن مِّن شَىْءٍ إِلَّا عِندَنَا خَزَآئِنُهُۥ وَمَا نُنَزِّلُهُۥٓ إِلَّا بِقَدَرٍ مَّعْلُومٍ,282,263,"[43.1, 161.502, 291.5, 201.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1835,15:22,15,22,99,٢٢:١٥,"And we send the winds as pollinators to send down from the sky water for you to drink. Otherwise, you could not keep it palatable.",وَأَرْسَلْنَا ٱلرِّيَـٰحَ لَوَٰقِحَ فَأَنزَلْنَا مِنَ ٱلسَّمَآءِ مَآءً فَأَسْقَيْنَـٰكُمُوهُ وَمَآ أَنتُمْ لَهُۥ بِخَـٰزِنِينَ,282,263,"[42.85, 210.352, 253.426, 265.3]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1836,15:23,15,23,99,٢٣:١٥,"It is we who control life and death, and we are the ultimate inheritors.",وَإِنَّا لَنَحْنُ نُحْىِۦ وَنُمِيتُ وَنَحْنُ ٱلْوَٰرِثُونَ,282,263,"[42.85, 274.051, 242.062, 300.35]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1837,15:24,15,24,99,٢٤:١٥,"And we fully know those among you who advance, and we fully know those who regress.",وَلَقَدْ عَلِمْنَا ٱلْمُسْتَقْدِمِينَ مِنكُمْ وَلَقَدْ عَلِمْنَا ٱلْمُسْتَـْٔخِرِينَ,282,263,"[42.6, 308.501, 250.572, 348.35]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1838,15:25,15,25,99,٢٥:١٥,"Your Lord will surely summon them. He is Most Wise, Omniscient.",وَإِنَّ رَبَّكَ هُوَ يَحْشُرُهُمْ ۚ إِنَّهُۥ حَكِيمٌ عَلِيمٌ,282,263,"[42.35, 357.202, 250.826, 383.352]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1839,15:26,15,26,99,٢٦:١٥,"We created the human being from aged mud, like the potter’s clay.",وَلَقَدْ خَلَقْنَا ٱلْإِنسَـٰنَ مِن صَلْصَـٰلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,282,263,"[41.9, 408.952, 238.94, 435.202]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1840,15:27,15,27,99,٢٧:١٥,"As for the jinns, we created them, before that, from blazing fire.",وَٱلْجَآنَّ خَلَقْنَـٰهُ مِن قَبْلُ مِن نَّارِ ٱلسَّمُومِ,282,263,"[41.65, 444.102, 236.17, 470.751]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1841,15:28,15,28,99,٢٨:١٥,"Your Lord said to the angels, “I am creating a human being from aged mud, like the potter’s clay.",وَإِذْ قَالَ رَبُّكَ لِلْمَلَـٰٓئِكَةِ إِنِّى خَـٰلِقٌۢ بَشَرًا مِّن صَلْصَـٰلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,282,263,"[41.15, 479.501, 253.262, 519.952]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1842,15:29,15,29,99,٢٩:١٥,"“Once I perfect him, and blow into him from My spirit, you shall fall prostrate before him.”",فَإِذَا سَوَّيْتُهُۥ وَنَفَخْتُ فِيهِ مِن رُّوحِى فَقَعُوا۟ لَهُۥ سَـٰجِدِينَ,282,263,"[40.7, 528.702, 348.488, 555.101]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1816,15:3,15,3,99,٣:١٥,"Let them eat, enjoy, and remain blinded by wishful thinking; they will surely find out.",ذَرْهُمْ يَأْكُلُوا۟ وَيَتَمَتَّعُوا۟ وَيُلْهِهِمُ ٱلْأَمَلُ ۖ فَسَوْفَ يَعْلَمُونَ,281,262,"[39.95, 166.251, 371.042, 183.95]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1843,15:30,15,30,99,٣٠:١٥,The angels fell prostrate; all of them—,فَسَجَدَ ٱلْمَلَـٰٓئِكَةُ كُلُّهُمْ أَجْمَعُونَ,282,263,"[40.2, 563.952, 261.66, 575.952]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1844,15:31,15,31,99,٣١:١٥,except Iblis (Satan). He refused to be with the prostrators.,إِلَّآ إِبْلِيسَ أَبَىٰٓ أَن يَكُونَ مَعَ ٱلسَّـٰجِدِينَ,282,263,"[39.95, 585.098, 362.767, 597.102]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1845,15:32,15,32,99,٣٢:١٥,"He said, “O Iblis (Satan), why are you not with the prostrators?”",قَالَ يَـٰٓإِبْلِيسُ مَا لَكَ أَلَّا تَكُونَ مَعَ ٱلسَّـٰجِدِينَ,283,264,"[39.5, 44.248, 395.024, 56.251]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1846,15:33,15,33,99,٣٣:١٥,"He said, “I am not to prostrate before a human being, whom You created from aged mud, like the potter’s clay.”",قَالَ لَمْ أَكُن لِّأَسْجُدَ لِبَشَرٍ خَلَقْتَهُۥ مِن صَلْصَـٰلٍ مِّنْ حَمَإٍ مَّسْنُونٍ,283,264,"[39.5, 65.001, 359.182, 91.4]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1847,15:34,15,34,99,٣٤:١٥,"He said, “Therefore, you must get out; you are banished.",قَالَ فَٱخْرُجْ مِنْهَا فَإِنَّكَ رَجِيمٌ,283,264,"[39.7, 100.651, 353.464, 112.651]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1848,15:35,15,35,99,٣٥:١٥,“You have incurred My condemnation until the Day of Judgment.”,وَإِنَّ عَلَيْكَ ٱللَّعْنَةَ إِلَىٰ يَوْمِ ٱلدِّينِ,283,264,"[39.95, 121.551, 406.958, 133.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1849,15:36,15,36,99,٣٦:١٥,"He said, “My Lord, respite me until the day they are resurrected.”",قَالَ رَبِّ فَأَنظِرْنِىٓ إِلَىٰ يَوْمِ يُبْعَثُونَ,283,264,"[39.95, 142.551, 402.866, 154.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1850,15:37,15,37,99,٣٧:١٥,"He said, “You are respited.",قَالَ فَإِنَّكَ مِنَ ٱلْمُنظَرِينَ,283,264,"[40.2, 163.401, 198.432, 175.401]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1851,15:38,15,38,99,٣٨:١٥,“Until the specified day and time.”,إِلَىٰ يَوْمِ ٱلْوَقْتِ ٱلْمَعْلُومِ,283,264,"[40.2, 184.051, 239.46, 196.051]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1852,15:39,15,39,99,٣٩:١٥,"He said, “My Lord, since You have sent me astray, I will surely entice them on earth; I will send them all astray.",قَالَ رَبِّ بِمَآ أَغْوَيْتَنِى لَأُزَيِّنَنَّ لَهُمْ فِى ٱلْأَرْضِ وَلَأُغْوِيَنَّهُمْ أَجْمَعِينَ,283,264,"[40.2, 204.801, 233.11, 259.651]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1817,15:4,15,4,99,٤:١٥,"We never annihilated any community, except in accordance with a specific, predetermined time.",وَمَآ أَهْلَكْنَا مِن قَرْيَةٍ إِلَّا وَلَهَا كِتَابٌ مَّعْلُومٌ,281,262,"[40.2, 203.151, 244.244, 233.75]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1853,15:40,15,40,99,٤٠:١٥,“Except those among Your worshipers who are devoted absolutely to You alone.”,إِلَّا عِبَادَكَ مِنْهُمُ ٱلْمُخْلَصِينَ,283,264,"[40.45, 268.651, 203.556, 309.45]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1854,15:41,15,41,99,٤١:١٥,"He said, “This is a law that is inviolable.",قَالَ هَـٰذَا صِرَٰطٌ عَلَىَّ مُسْتَقِيمٌ,283,264,"[40.7, 317.951, 174.872, 344.6]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1855,15:42,15,42,99,٤٢:١٥,"“You have no power over My servants, except the strayers who follow you.",إِنَّ عِبَادِى لَيْسَ لَكَ عَلَيْهِمْ سُلْطَـٰنٌ إِلَّا مَنِ ٱتَّبَعَكَ مِنَ ٱلْغَاوِينَ,283,264,"[40.7, 353.151, 223.432, 392.949]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
